dataset,iteration,model,type,sol_name,sex_mean_diff,sex_eq_opp_diff,sex_avg_odds_diff,race_mean_diff,race_eq_opp_diff,race_avg_odds_diff,overall_mean_diff,overall_eq_opp_diff,overall_avg_odds_diff,accuracy,f1_score,precision,recall,elapsed_time,size
mep,26,svm,Baseline,Baseline,-0.047,-0.051,-0.033,-0.036,-0.108,-0.056,-0.081,-0.181,-0.1,0.861,0.693,0.792,0.658,0.0621,2.767578125
mep,26,xgb,Baseline,Baseline,-0.064,-0.059,-0.043,-0.039,-0.111,-0.057,-0.099,-0.184,-0.107,0.853,0.712,0.751,0.689,0.152736,339.2255859375
mep,27,lr,Baseline,Baseline,-0.059,-0.066,-0.048,-0.036,-0.077,-0.045,-0.097,-0.213,-0.127,0.862,0.689,0.775,0.656,0.021492,2.888671875
mep,27,rf,Baseline,Baseline,-0.05,-0.03,-0.027,-0.027,-0.069,-0.035,-0.081,-0.181,-0.102,0.864,0.703,0.775,0.671,0.719478,25393.5546875
mep,27,svm,Baseline,Baseline,-0.047,-0.04,-0.031,-0.023,-0.044,-0.024,-0.075,-0.15,-0.088,0.861,0.685,0.775,0.652,0.057401,2.767578125
mep,27,xgb,Baseline,Baseline,-0.045,0.061,0.014,-0.035,-0.061,-0.037,-0.083,-0.044,-0.044,0.858,0.702,0.752,0.676,0.143895,346.009765625
mep,28,lr,Baseline,Baseline,-0.063,-0.049,-0.043,-0.043,-0.007,-0.015,-0.108,-0.082,-0.071,0.863,0.704,0.769,0.674,0.021201,2.888671875
mep,28,rf,Baseline,Baseline,-0.059,-0.049,-0.04,-0.04,0.015,-0.004,-0.098,-0.032,-0.043,0.862,0.702,0.768,0.671,0.699079,25524.0234375
mep,28,svm,Baseline,Baseline,-0.053,-0.029,-0.029,-0.033,0.012,-0.002,-0.088,-0.025,-0.036,0.864,0.7,0.776,0.667,0.052076,2.767578125
mep,28,xgb,Baseline,Baseline,-0.069,-0.028,-0.037,-0.052,-0.043,-0.034,-0.116,-0.045,-0.057,0.853,0.705,0.738,0.684,0.150449,339.294921875
mep,29,lr,Baseline,Baseline,-0.054,-0.04,-0.035,-0.045,-0.087,-0.055,-0.101,-0.154,-0.104,0.854,0.681,0.755,0.651,0.022334,2.888671875
mep,29,rf,Baseline,Baseline,-0.037,-0.003,-0.008,-0.044,-0.051,-0.039,-0.082,-0.085,-0.062,0.856,0.694,0.755,0.665,0.705665,25068.3984375
mep,29,svm,Baseline,Baseline,-0.044,-0.025,-0.024,-0.029,-0.04,-0.027,-0.077,-0.092,-0.065,0.854,0.674,0.756,0.644,0.058587,2.767578125
mep,29,xgb,Baseline,Baseline,-0.053,-0.014,-0.022,-0.059,-0.106,-0.069,-0.116,-0.163,-0.113,0.851,0.703,0.738,0.681,0.149169,349.7890625
mep,30,lr,Baseline,Baseline,-0.06,-0.071,-0.051,-0.037,-0.103,-0.057,-0.098,-0.187,-0.115,0.859,0.69,0.767,0.659,0.024866,2.888671875
mep,30,rf,Baseline,Baseline,-0.045,-0.049,-0.033,-0.033,-0.086,-0.047,-0.078,-0.156,-0.09,0.857,0.691,0.759,0.662,0.717289,25146.2109375
mep,30,svm,Baseline,Baseline,-0.05,-0.044,-0.034,-0.03,-0.09,-0.048,-0.081,-0.146,-0.089,0.859,0.685,0.769,0.653,0.055793,2.767578125
mep,30,xgb,Baseline,Baseline,-0.066,-0.068,-0.052,-0.051,-0.12,-0.071,-0.118,-0.225,-0.14,0.855,0.705,0.745,0.682,0.155688,339.296875
